movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt0111503,True Lies,James Cameron,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton,Action/ Comedy/ Thriller,141,15,A fearless/ globe-trotting/ terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.,0.8269,3,3,1,smoking
tt10195452,American Skin,Nate Parker,Omari Hardwick Theo Rossi Beau Knapp Jahir Acosta,Drama,89,R,A Marine veteran working as a school janitor tries to mend his relationship with his son after a divorce. When his son is killed by a police officer found innocent without standing trial/ he takes matters into his own hands.,0.5427,0,0,0,no alcohol or smoking
tt3890160,Baby Driver,Edgar Wright,Ansel Elgort Jon Bernthal Jon Hamm Eiza González,Action/ Crime/ Drama,113,15,After being coerced into working for a crime boss/ a young getaway driver finds himself taking part in a heist doomed to fail.,0.8307,3,1,7,drinking
tt1302006,The Irishman,Martin Scorsese,Robert De Niro Al Pacino Joe Pesci Harvey Keitel,Biography/ Crime/ Drama,209,18,An old man recalls his time painting houses for his friend/ Jimmy Hoffa/ through the 1950-70s.,0.8345,3,1,2,no alcohol or smoking
tt10003008,The Rental,Dave Franco,Dan Stevens Alison Brie Sheila Vand Jeremy Allen White,Drama/ Horror/ Mystery,88,15,Two couples rent a vacation home for what should be a celebratory weekend get-away.,0.5427,0,0,1,drinking
tt6476140,Serenity,Steven Knight,Matthew McConaughey Anne Hathaway Diane Lane Jason Clarke,Drama/ Mystery/ Thriller,106,15,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,0.712,3,3,2,smoking and drinking
tt7984734,The Lighthouse,Robert Eggers,Robert Pattinson Willem Dafoe Valeriia Karaman Logan Hawkes,Drama/ Fantasy/ Horror,109,18,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,0.7965,3,3,5,smoking and drinking
tt0110413,Léon,Luc Besson,Jean Reno Gary Oldman Natalie Portman Danny Aiello,Action/ Crime/ Drama,110,18,Mathilda/ a 12-year-old girl/ is reluctantly taken in by Léon/ a professional assassin/ after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.,0.8106,3,3,0,smoking and drinking
tt2713180,Fury,David Ayer,Brad Pitt Shia LaBeouf Logan Lerman Michael Peña,Action/ Drama/ War,134,15,A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April/ 1945.,0.8211,3,1,7,smoking and drinking
tt5606664,Doctor Sleep,Mike Flanagan,Ewan McGregor Rebecca Ferguson Kyliegh Curran Cliff Curtis,Drama/ Fantasy/ Horror,152,15,Years following the events of The Shining (1980)/ a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot/ who prey on children with powers to remain immortal.,0.7984,3,3,5,drinking
tt2911666,John Wick,Chad Stahelski David Leitch,Keanu Reeves Michael Nyqvist Alfie Allen Willem Dafoe,Action/ Crime/ Thriller,101,18,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,0.8245,3,3,3,no alcohol or smoking
tt0120815,Saving Private Ryan,Steven Spielberg,Tom Hanks Matt Damon Tom Sizemore Edward Burns,Drama/ War,169,15,Following the Normandy Landings/ a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.,0.8253,3,0,6,smoking
tt8829830,Fatale,Deon Taylor,Hilary Swank Michael Ealy Mike Colter Damaris Lewis,Thriller,102,R,After a one-night stand/ a successful married man finds himself entangled in a cunning police detective's latest investigation.,0.5427,0,0,0,no alcohol or smoking
tt6772802,Hillbilly Elegy,Ron Howard,Amy Adams Glenn Close Gabriel Basso Haley Bennett,Drama,116,R,An urgent phone call pulls a Yale Law student back to his Ohio hometown/ where he reflects on three generations of family history and his own future.,0.7674,3,1,2,smoking
